Day,Country,Country Name,Region,Deaths Per Day,Cumulative Deaths,Confirmed Cases Per Day,Cumulative Confirmed
30-01-2020,IN,India,SEARO,0,0,1,1
31-01-2020,IN,India,SEARO,0,0,0,1
01-02-2020,IN,India,SEARO,0,0,0,1
02-02-2020,IN,India,SEARO,0,0,1,2
03-02-2020,IN,India,SEARO,0,0,1,3
04-02-2020,IN,India,SEARO,0,0,0,3
05-02-2020,IN,India,SEARO,0,0,0,3
06-02-2020,IN,India,SEARO,0,0,0,3
07-02-2020,IN,India,SEARO,0,0,0,3
08-02-2020,IN,India,SEARO,0,0,0,3
09-02-2020,IN,India,SEARO,0,0,0,3
10-02-2020,IN,India,SEARO,0,0,0,3
11-02-2020,IN,India,SEARO,0,0,0,3
12-02-2020,IN,India,SEARO,0,0,0,3
13-02-2020,IN,India,SEARO,0,0,0,3
14-02-2020,IN,India,SEARO,0,0,0,3
15-02-2020,IN,India,SEARO,0,0,0,3
16-02-2020,IN,India,SEARO,0,0,0,3
17-02-2020,IN,India,SEARO,0,0,0,3
18-02-2020,IN,India,SEARO,0,0,0,3
19-02-2020,IN,India,SEARO,0,0,0,3
20-02-2020,IN,India,SEARO,0,0,0,3
21-02-2020,IN,India,SEARO,0,0,0,3
22-02-2020,IN,India,SEARO,0,0,0,3
23-02-2020,IN,India,SEARO,0,0,0,3
24-02-2020,IN,India,SEARO,0,0,0,3
25-02-2020,IN,India,SEARO,0,0,0,3
26-02-2020,IN,India,SEARO,0,0,0,3
27-02-2020,IN,India,SEARO,0,0,0,3
28-02-2020,IN,India,SEARO,0,0,0,3
29-02-2020,IN,India,SEARO,0,0,0,3
01-03-2020,IN,India,SEARO,0,0,0,3
02-03-2020,IN,India,SEARO,0,0,2,5
03-03-2020,IN,India,SEARO,0,0,0,5
04-03-2020,IN,India,SEARO,0,0,22,27
05-03-2020,IN,India,SEARO,0,0,2,29
06-03-2020,IN,India,SEARO,0,0,2,31
07-03-2020,IN,India,SEARO,0,0,3,34
08-03-2020,IN,India,SEARO,0,0,5,39
09-03-2020,IN,India,SEARO,0,0,5,44
10-03-2020,IN,India,SEARO,0,0,6,50
11-03-2020,IN,India,SEARO,0,0,10,60
12-03-2020,IN,India,SEARO,0,0,14,74
13-03-2020,IN,India,SEARO,1,1,7,81
14-03-2020,IN,India,SEARO,1,2,3,84
15-03-2020,IN,India,SEARO,0,2,23,107
16-03-2020,IN,India,SEARO,0,2,7,114
17-03-2020,IN,India,SEARO,1,3,23,137
18-03-2020,IN,India,SEARO,0,3,14,151
19-03-2020,IN,India,SEARO,1,4,44,195
20-03-2020,IN,India,SEARO,0,4,0,195
21-03-2020,IN,India,SEARO,0,4,88,283
22-03-2020,IN,India,SEARO,1,5,58,341
23-03-2020,IN,India,SEARO,4,9,93,434
24-03-2020,IN,India,SEARO,0,9,85,519
25-03-2020,IN,India,SEARO,1,10,87,606
26-03-2020,IN,India,SEARO,3,13,43,649
27-03-2020,IN,India,SEARO,4,17,75,724
28-03-2020,IN,India,SEARO,0,17,0,724
29-03-2020,IN,India,SEARO,8,25,255,979
